epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.4056,1.46075,2.89493,1.42194,0.00461,0.96875,0.35546,0.22078,1.18282,3.38304,1.17712,0.00053979,0.00053979,0.00053979
2,60.936,1.54946,2.32586,1.56631,0.29328,0.28176,0.1831,0.093,1.64857,3.33205,1.57373,0.00108461,0.00108461,0.00108461
3,90.6008,1.6038,2.21528,1.60395,0.24864,0.30208,0.25136,0.09768,2.01259,4.21536,1.94992,0.00161843,0.00161843,0.00161843
4,120.108,1.63778,2.04863,1.59369,0.11979,0.20833,0.12633,0.03758,2.03119,8.42102,2.22921,0.00161749,0.00161749,0.00161749
5,149.87,1.65251,2.04413,1.5972,0.26506,0.41319,0.3402,0.17617,1.84701,6.43507,1.73649,0.00160099,0.00160099,0.00160099
6,179.356,1.61159,1.92772,1.58382,0.48618,0.40625,0.38289,0.20178,1.84827,3.89407,1.77183,0.00158448,0.00158448,0.00158448
7,209.401,1.59847,1.85182,1.54126,0.71269,0.40413,0.51728,0.2767,1.79812,2.90016,1.72743,0.00156798,0.00156798,0.00156798
8,239.471,1.4934,1.6587,1.45596,0.76185,0.73611,0.73481,0.39491,1.71943,1.87421,1.59527,0.00155148,0.00155148,0.00155148
9,269.672,1.47524,1.61676,1.44978,0.6802,0.65995,0.67453,0.34047,1.86155,1.88938,1.64772,0.00153497,0.00153497,0.00153497
10,299.576,1.52865,1.58441,1.46515,0.4352,0.52431,0.40434,0.20244,1.86887,2.6423,1.68045,0.00151847,0.00151847,0.00151847
11,328.992,1.44462,1.59158,1.44653,0.76584,0.51736,0.63387,0.36741,1.55811,1.99731,1.43887,0.00150197,0.00150197,0.00150197
12,358.406,1.44914,1.51464,1.4372,0.76579,0.63216,0.73523,0.40399,1.65388,1.69779,1.51078,0.00148546,0.00148546,0.00148546
13,388.404,1.44264,1.47176,1.45325,0.68583,0.69797,0.7167,0.40262,1.71188,1.90341,1.60678,0.00146896,0.00146896,0.00146896
14,417.954,1.40757,1.4646,1.44037,0.72071,0.72433,0.70891,0.40225,1.58382,1.68235,1.49724,0.00145246,0.00145246,0.00145246
15,447.726,1.3697,1.38417,1.39237,0.69945,0.78405,0.80896,0.40526,1.65481,1.55807,1.47359,0.00143595,0.00143595,0.00143595
16,477.532,1.35346,1.33092,1.37449,0.68647,0.64233,0.68156,0.36838,1.68279,1.62145,1.43329,0.00141945,0.00141945,0.00141945
17,507.472,1.38924,1.4124,1.40921,0.71858,0.54988,0.65318,0.3547,1.61642,1.7349,1.48699,0.00140295,0.00140295,0.00140295
18,537.279,1.36114,1.32503,1.4064,0.79172,0.64583,0.77954,0.44456,1.56762,1.43004,1.45686,0.00138644,0.00138644,0.00138644
19,581.79,1.34241,1.26896,1.38609,0.70517,0.67014,0.71359,0.3362,1.95946,1.63236,1.70877,0.00136994,0.00136994,0.00136994
20,614.639,1.41754,1.37264,1.41521,0.87697,0.76736,0.82085,0.50371,1.49547,1.36791,1.42766,0.00135344,0.00135344,0.00135344
21,647.175,1.29468,1.26004,1.33267,0.78023,0.55554,0.65867,0.37607,1.76884,1.74278,1.61475,0.00133693,0.00133693,0.00133693
22,677.166,1.38162,1.31104,1.37061,0.7769,0.68056,0.79435,0.50164,1.48171,1.35862,1.44664,0.00132043,0.00132043,0.00132043
23,707.049,1.2862,1.18339,1.32407,0.79059,0.61458,0.7423,0.38828,1.60125,1.43828,1.47587,0.00130393,0.00130393,0.00130393
24,736.901,1.25066,1.16809,1.31683,0.84791,0.70833,0.82991,0.47532,1.52562,1.33461,1.41252,0.00128742,0.00128742,0.00128742
25,767.266,1.21828,1.14126,1.2915,0.68467,0.90705,0.85359,0.47577,1.57914,1.29459,1.45983,0.00127092,0.00127092,0.00127092
26,797.303,1.21675,1.13366,1.29371,0.71882,0.82986,0.80083,0.4748,1.54421,1.22563,1.44049,0.00125442,0.00125442,0.00125442
27,827.383,1.25637,1.19012,1.35288,0.84419,0.67708,0.76986,0.49499,1.40753,1.29774,1.37332,0.00123791,0.00123791,0.00123791
28,860.07,1.22134,1.06475,1.30503,0.76848,0.76084,0.7884,0.43306,1.71252,1.30544,1.55397,0.00122141,0.00122141,0.00122141
29,891.798,1.19055,1.04401,1.25549,0.73288,0.87847,0.8405,0.50777,1.53089,1.11682,1.41916,0.00120491,0.00120491,0.00120491
30,923.749,1.23672,1.09603,1.30425,0.67613,0.74245,0.77452,0.41984,1.67834,1.33514,1.43879,0.0011884,0.0011884,0.0011884
