epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3194,1.4682,3.91421,1.73642,0.7418,0.25,0.25042,0.05087,2.58401,5.22071,2.91069,1.667e-05,1.667e-05,1.667e-05
2,56.9187,1.88637,3.39746,1.86562,0.89207,0.25,0.25279,0.05065,2.49347,5.43035,2.84893,4.95149e-05,4.95149e-05,4.95149e-05
3,83.2268,1.06769,2.32269,1.4229,0.74412,0.25,0.28781,0.06982,2.38067,4.97882,2.82203,8.16997e-05,8.16997e-05,8.16997e-05
4,109.764,0.96114,2.11356,1.36963,0.31785,0.66667,0.43825,0.18689,2.35696,5.63669,2.79052,0.000113224,0.000113224,0.000113224
5,135.564,1.16148,1.73299,1.27073,0.24699,0.66667,0.38314,0.15306,2.42902,6.50202,2.72635,0.000144089,0.000144089,0.000144089
6,161.542,1.27079,2.01817,1.43423,0.44468,0.66667,0.45795,0.17462,2.3244,4.28908,2.63354,0.000174293,0.000174293,0.000174293
7,187.106,1.0235,1.66317,1.22559,0.78398,0.66667,0.66519,0.2783,2.38309,4.23077,2.29318,0.000203837,0.000203837,0.000203837
8,212.7,1.00704,1.72275,1.14182,0.82687,0.41667,0.58187,0.20764,2.32213,5.58951,2.44761,0.000232722,0.000232722,0.000232722
9,235.618,0.98603,1.61716,1.16999,0.95195,0.25,0.3983,0.1397,2.19561,4.32998,2.27367,0.000260946,0.000260946,0.000260946
10,253.177,1.12539,1.69957,1.29783,0.55365,0.16667,0.33278,0.03449,2.36878,4.03885,2.34995,0.000288509,0.000288509,0.000288509
11,270.195,1.31795,2.0916,1.41302,0.74031,0.25,0.18512,0.06379,2.16796,4.68165,2.52412,0.000315413,0.000315413,0.000315413
12,287.721,1.33893,1.55848,1.47969,0.74031,0.25,0.18512,0.06379,2.16796,4.68165,2.52412,0.000341657,0.000341657,0.000341657
13,304.944,1.17017,1.50653,1.29073,0.46215,0.41667,0.41879,0.11096,2.91099,7.27927,2.55538,0.00036724,0.00036724,0.00036724
14,322.762,1.19465,2.04267,1.29352,0.06739,0.16667,0.19992,0.0445,2.77093,5.92264,2.78515,0.000392163,0.000392163,0.000392163
15,339.793,1.15339,1.68569,1.19369,0.06739,0.16667,0.19992,0.0445,2.77093,5.92264,2.78515,0.000416427,0.000416427,0.000416427
16,358.007,1.59283,1.9229,1.62053,0.95791,0.25,0.2574,0.03882,2.02067,5.78521,2.43467,0.00044003,0.00044003,0.00044003
17,375.147,1.2384,1.84952,1.35155,0.4579,0.25,0.38846,0.06891,2.32588,6.02576,2.67406,0.000462973,0.000462973,0.000462973
18,391.955,1.22062,1.59391,1.3495,0.4579,0.25,0.38846,0.06891,2.32588,6.02576,2.67406,0.000485255,0.000485255,0.000485255
19,409.047,1.02899,1.38647,1.1517,0.04065,0.41667,0.02587,0.00317,2.77901,6.81845,2.81555,0.000506878,0.000506878,0.000506878
20,426.379,1.55494,2.20001,1.49988,0.04065,0.41667,0.02587,0.00317,2.77901,6.81845,2.81555,0.000527841,0.000527841,0.000527841
21,444.101,1.12933,1.60814,1.25212,0.00179,0.41667,0.00828,0.00282,2.84396,6.27808,3.18805,0.000548143,0.000548143,0.000548143
22,461.426,1.58806,1.81419,1.51163,0.00179,0.41667,0.00828,0.00282,2.84396,6.27808,3.18805,0.000567785,0.000567785,0.000567785
23,478.71,1.31658,1.61028,1.34641,0.57909,0.25,0.06199,0.03099,2.54263,6.30265,3.57853,0.000586767,0.000586767,0.000586767
24,495.521,1.41616,1.75768,1.34844,0.57909,0.25,0.06199,0.03099,2.54263,6.30265,3.57853,0.000605089,0.000605089,0.000605089
25,512.635,1.39063,1.54538,1.31629,0.0004,0.25,0.00201,0.0008,2.72574,5.38033,3.62212,0.000622751,0.000622751,0.000622751
26,529.453,1.6372,2.0802,1.479,0.0004,0.25,0.00201,0.0008,2.72574,5.38033,3.62212,0.000639753,0.000639753,0.000639753
27,546.107,1.13537,1.44459,1.22319,0.0004,0.25,0.00201,0.0008,2.72574,5.38033,3.62212,0.000656095,0.000656095,0.000656095
28,563.04,1.4083,1.60805,1.33771,0.56194,0.25,0.04137,0.00605,2.62064,9.56467,3.88806,0.000671776,0.000671776,0.000671776
29,579.974,1.61015,1.97419,1.43908,0.56194,0.25,0.04137,0.00605,2.62064,9.56467,3.88806,0.000686797,0.000686797,0.000686797
30,596.977,1.23584,1.40219,1.2657,0.00162,0.41667,0.00156,0.00024,3.23286,12.7244,4.72429,0.000701159,0.000701159,0.000701159
31,613.705,1.33098,1.75245,1.44805,0.00162,0.41667,0.00156,0.00024,3.23286,12.7244,4.72429,0.00071486,0.00071486,0.00071486
32,630.534,1.42669,1.73238,1.44348,0.00162,0.41667,0.00156,0.00024,3.23286,12.7244,4.72429,0.000727901,0.000727901,0.000727901
33,648.08,1.34895,1.76036,1.3437,0.94567,0.25,0.24972,0.07481,3.61437,5.41473,4.46044,0.000740281,0.000740281,0.000740281
34,665.309,1.59196,1.74069,1.43406,0.94567,0.25,0.24972,0.07481,3.61437,5.41473,4.46044,0.000752002,0.000752002,0.000752002
35,682.674,1.37302,1.66945,1.30544,0.94567,0.25,0.24972,0.07481,3.61437,5.41473,4.46044,0.000763063,0.000763063,0.000763063
36,699.92,1.41567,2.16266,1.31278,0.0322,0.66667,0.0502,0.00694,3.65195,55.6536,5.56038,0.000773463,0.000773463,0.000773463
37,717.157,1.17706,1.50582,1.33091,0.0322,0.66667,0.0502,0.00694,3.65195,55.6536,5.56038,0.000783203,0.000783203,0.000783203
38,734.135,1.30861,1.70717,1.25639,0.0322,0.66667,0.0502,0.00694,3.65195,55.6536,5.56038,0.000792283,0.000792283,0.000792283
39,752.567,1.69846,3.04201,1.59888,0.55,0.25,0.08261,0.00826,3.20062,142.514,6.52554,0.000800703,0.000800703,0.000800703
40,770.289,1.27275,1.81309,1.28739,0.55,0.25,0.08261,0.00826,3.20062,142.514,6.52554,0.000808463,0.000808463,0.000808463
41,790.72,1.34561,1.42909,1.30106,0.55,0.25,0.08261,0.00826,3.20062,142.514,6.52554,0.000815563,0.000815563,0.000815563
42,808.516,1.32104,1.65234,1.32356,0.00294,0.25,0.00811,0.00166,2.99842,110.545,5.0836,0.000822003,0.000822003,0.000822003
43,825.184,1.3672,2.06095,1.3982,0.00294,0.25,0.00811,0.00166,2.99842,110.545,5.0836,0.000827782,0.000827782,0.000827782
