epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5267,1.63356,3.38293,1.66567,0.00502,1,0.06572,0.05679,0.97678,3.1382,1.00847,1.667e-05,1.667e-05,1.667e-05
2,5.70034,1.75433,3.43834,1.58618,0.00488,1,0.09752,0.08622,1.06108,3.15945,1.02928,4.95149e-05,4.95149e-05,4.95149e-05
3,8.91449,1.2049,3.13753,1.30787,0.00486,1,0.13616,0.1207,1.15136,3.20879,1.06658,8.16997e-05,8.16997e-05,8.16997e-05
4,12.1932,1.3015,3.22837,1.44463,0.00489,1,0.22576,0.16012,1.25562,3.23256,1.12068,0.000113224,0.000113224,0.000113224
5,14.9102,1.0625,2.97337,1.2875,0.00495,1,0.29278,0.19986,1.32743,3.21551,1.13154,0.000144089,0.000144089,0.000144089
6,17.3638,1.42027,3.25279,1.41404,0.00503,1,0.23118,0.16059,1.39432,3.22596,1.16075,0.000174293,0.000174293,0.000174293
7,20.0063,1.05971,2.89945,1.25118,0.00513,1,0.41625,0.23629,1.45677,3.23103,1.18914,0.000203837,0.000203837,0.000203837
8,22.5914,1.21199,2.9399,1.24425,0.00512,1,0.36206,0.21919,1.48816,3.25832,1.21714,0.000232722,0.000232722,0.000232722
9,25.2161,1.09347,2.89899,1.21554,0.00452,0.875,0.37398,0.25201,1.5983,3.2596,1.26167,0.000260946,0.000260946,0.000260946
10,27.6212,1.23596,2.71726,1.16803,0.00454,0.875,0.41529,0.27772,1.66414,3.23743,1.25877,0.000288509,0.000288509,0.000288509
11,30.6034,1.2903,2.69856,1.28685,0.00457,0.875,0.37404,0.2177,1.56062,3.25047,1.25783,0.000315413,0.000315413,0.000315413
12,33.0958,0.93337,2.5154,1.10707,0.00457,0.875,0.37404,0.2177,1.56062,3.25047,1.25783,0.000341657,0.000341657,0.000341657
13,35.4424,0.97079,2.47618,1.04217,0.0045,0.875,0.42413,0.24184,1.61915,3.22897,1.33043,0.00036724,0.00036724,0.00036724
14,37.8279,0.96254,2.46767,1.16118,0.00444,0.875,0.41065,0.21985,1.67188,3.21911,1.3712,0.000392163,0.000392163,0.000392163
15,40.0752,1.17996,2.61174,1.16915,0.00444,0.875,0.41065,0.21985,1.67188,3.21911,1.3712,0.000416427,0.000416427,0.000416427
16,42.4025,1.39056,2.54161,1.28225,0.00505,1,0.43044,0.21626,1.76243,3.21126,1.44841,0.00044003,0.00044003,0.00044003
17,44.6892,1.15814,2.32727,1.13517,0.00515,1,0.46862,0.25952,1.59682,3.05975,1.36851,0.000462973,0.000462973,0.000462973
18,47.0356,1.0409,2.15941,1.12936,0.00515,1,0.46862,0.25952,1.59682,3.05975,1.36851,0.000485255,0.000485255,0.000485255
19,49.2992,1.10715,2.15235,1.10738,0.00511,1,0.49002,0.26946,1.60922,3.00085,1.39595,0.000506878,0.000506878,0.000506878
20,51.7484,0.9515,1.93626,1.06453,0.00511,1,0.49002,0.26946,1.60922,3.00085,1.39595,0.000527841,0.000527841,0.000527841
21,54.3278,1.09751,1.93259,1.09178,0.53606,0.375,0.49504,0.25455,1.79565,2.96469,1.48705,0.000548143,0.000548143,0.000548143
22,56.5484,1.0481,1.98914,1.14893,0.53606,0.375,0.49504,0.25455,1.79565,2.96469,1.48705,0.000567785,0.000567785,0.000567785
23,59.0064,1.10162,1.83178,1.08374,0.82399,0.25,0.57464,0.2969,2.02397,2.90371,1.56163,0.000586767,0.000586767,0.000586767
24,61.3582,1.10391,1.84785,1.08023,0.82399,0.25,0.57464,0.2969,2.02397,2.90371,1.56163,0.000605089,0.000605089,0.000605089
25,63.9108,1.16888,1.80978,1.13267,1,0.39324,0.6577,0.30256,2.0633,2.88131,1.53521,0.000622751,0.000622751,0.000622751
26,66.3891,0.96817,1.63884,1.16145,1,0.39324,0.6577,0.30256,2.0633,2.88131,1.53521,0.000639753,0.000639753,0.000639753
27,68.7449,1.09484,1.55961,1.09851,1,0.39324,0.6577,0.30256,2.0633,2.88131,1.53521,0.000656095,0.000656095,0.000656095
28,71.2707,1.07116,1.66391,1.12281,1,0.42163,0.65764,0.31632,2.08309,2.79352,1.55002,0.000671776,0.000671776,0.000671776
29,73.7765,1.06543,1.5279,1.05651,1,0.42163,0.65764,0.31632,2.08309,2.79352,1.55002,0.000686797,0.000686797,0.000686797
30,76.3103,1.02103,1.74267,1.11459,0.84332,0.56761,0.64461,0.31395,2.10711,2.69316,1.57443,0.000701159,0.000701159,0.000701159
31,78.6167,1.04805,1.39526,1.11631,0.84332,0.56761,0.64461,0.31395,2.10711,2.69316,1.57443,0.00071486,0.00071486,0.00071486
32,81.0235,1.1396,1.92924,1.16436,0.84332,0.56761,0.64461,0.31395,2.10711,2.69316,1.57443,0.000727901,0.000727901,0.000727901
33,83.4822,1.12854,1.64824,1.11617,0.73802,0.54946,0.64626,0.37039,1.91538,2.56029,1.47623,0.000740281,0.000740281,0.000740281
34,86.0517,0.83741,1.31996,1.0011,0.73802,0.54946,0.64626,0.37039,1.91538,2.56029,1.47623,0.000752002,0.000752002,0.000752002
35,88.7404,1.09786,1.79051,1.18002,0.73802,0.54946,0.64626,0.37039,1.91538,2.56029,1.47623,0.000763063,0.000763063,0.000763063
36,91.2833,1.05622,1.45796,1.09211,0.69901,0.54873,0.64964,0.44781,1.77055,2.4685,1.48045,0.000773463,0.000773463,0.000773463
37,94.0358,0.91355,1.28708,1.02018,0.69901,0.54873,0.64964,0.44781,1.77055,2.4685,1.48045,0.000783203,0.000783203,0.000783203
38,96.5076,0.88829,1.69406,1.08631,0.69901,0.54873,0.64964,0.44781,1.77055,2.4685,1.48045,0.000792283,0.000792283,0.000792283
39,98.7929,0.84492,1.36927,0.9822,0.68056,0.555,0.6709,0.47447,1.76675,2.49158,1.52692,0.000800703,0.000800703,0.000800703
40,101.27,0.89115,1.25481,1.04194,0.68056,0.555,0.6709,0.47447,1.76675,2.49158,1.52692,0.000808463,0.000808463,0.000808463
41,103.759,1.12752,1.36573,1.13612,0.68056,0.555,0.6709,0.47447,1.76675,2.49158,1.52692,0.000815563,0.000815563,0.000815563
42,106.366,1.12071,1.34475,1.16886,0.75696,0.55688,0.65361,0.45503,1.98901,2.6116,1.66916,0.000822003,0.000822003,0.000822003
43,108.709,1.14344,1.28218,1.06124,0.75696,0.55688,0.65361,0.45503,1.98901,2.6116,1.66916,0.000827782,0.000827782,0.000827782
44,111.013,0.90135,1.28481,1.04992,0.75696,0.55688,0.65361,0.45503,1.98901,2.6116,1.66916,0.000832902,0.000832902,0.000832902
45,113.292,0.93566,1.35512,1.14255,0.75696,0.55688,0.65361,0.45503,1.98901,2.6116,1.66916,0.000837361,0.000837361,0.000837361
46,115.586,1.05351,1.50594,1.10317,0.76,0.55977,0.66429,0.47099,2.03593,2.62883,1.6698,0.00084116,0.00084116,0.00084116
47,118.04,1.04089,1.40881,1.07901,0.76,0.55977,0.66429,0.47099,2.03593,2.62883,1.6698,0.000844299,0.000844299,0.000844299
48,120.346,1.00691,1.52121,1.09707,0.76,0.55977,0.66429,0.47099,2.03593,2.62883,1.6698,0.000846778,0.000846778,0.000846778
49,122.699,1.06797,1.33524,1.04238,0.76,0.55977,0.66429,0.47099,2.03593,2.62883,1.6698,0.000848596,0.000848596,0.000848596
50,124.992,1.01462,1.39027,1.10879,0.76186,0.57327,0.65909,0.3869,2.05174,2.51904,1.62724,0.000849755,0.000849755,0.000849755
51,127.348,0.83952,1.26333,0.97782,0.76186,0.57327,0.65909,0.3869,2.05174,2.51904,1.62724,0.000841835,0.000841835,0.000841835
52,129.717,1.10259,1.4401,1.10785,0.76186,0.57327,0.65909,0.3869,2.05174,2.51904,1.62724,0.000825332,0.000825332,0.000825332
53,132.152,1.00009,1.64979,1.13443,0.76186,0.57327,0.65909,0.3869,2.05174,2.51904,1.62724,0.000808828,0.000808828,0.000808828
54,134.439,0.94512,1.14511,1.00734,0.64803,0.5816,0.64024,0.40982,1.89935,2.62133,1.62016,0.000792325,0.000792325,0.000792325
55,136.667,1.09423,1.27207,1.10048,0.64803,0.5816,0.64024,0.40982,1.89935,2.62133,1.62016,0.000775822,0.000775822,0.000775822
56,138.904,0.96746,1.29979,0.97986,0.64803,0.5816,0.64024,0.40982,1.89935,2.62133,1.62016,0.000759318,0.000759318,0.000759318
