epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.5634,1.62653,2.9827,1.61741,0.00637,1,0.23882,0.19049,0.62701,2.94851,0.85113,0.00013336,0.00013336,0.00013336
2,16.2775,1.38482,2.91362,1.45309,0.00849,1,0.29653,0.1318,1.00803,3.16958,1.09052,0.000280584,0.000280584,0.000280584
3,24.294,1.29341,2.77047,1.40186,0.00835,1,0.37906,0.23096,1.05961,3.12509,1.10563,0.000424838,0.000424838,0.000424838
4,31.9029,1.22782,2.48109,1.3262,0.00729,1,0.46957,0.33261,1.0461,2.97359,1.08735,0.000566122,0.000566122,0.000566122
5,39.7409,1.28086,2.30604,1.39061,0.0059,0.92857,0.57498,0.35877,1.19036,2.86977,1.22164,0.000704434,0.000704434,0.000704434
6,47.2911,1.35269,2.11623,1.43841,1,0.2149,0.60926,0.35134,1.5126,2.72878,1.42636,0.000839776,0.000839776,0.000839776
7,54.5449,1.4141,1.90016,1.41491,0.74077,0.54336,0.54243,0.38607,1.44714,2.54072,1.42991,0.000972148,0.000972148,0.000972148
8,62.2997,1.44184,1.84072,1.47148,0.77459,0.48487,0.52923,0.35346,1.43868,2.64053,1.45624,0.00110155,0.00110155,0.00110155
9,69.7609,1.45993,1.75094,1.43212,0.8004,0.47452,0.59457,0.43273,1.43111,2.42837,1.35731,0.00122798,0.00122798,0.00122798
10,77.5372,1.41414,1.67163,1.45635,0.95469,0.56484,0.69019,0.45929,1.65905,2.40087,1.49479,0.00135144,0.00135144,0.00135144
11,85.2333,1.44197,1.61336,1.4351,0.73388,0.59612,0.67755,0.43527,1.46046,2.25933,1.43363,0.00147193,0.00147193,0.00147193
12,92.6431,1.42745,1.58985,1.47888,0.57751,0.61429,0.65713,0.42643,1.35948,2.5425,1.40435,0.00148546,0.00148546,0.00148546
13,101.147,1.50644,1.69676,1.50545,0.41942,0.61429,0.47747,0.33307,1.35582,2.7162,1.35568,0.00146896,0.00146896,0.00146896
14,108.657,1.43041,1.51123,1.46065,0.49816,0.68571,0.50237,0.3108,1.45584,2.55013,1.41596,0.00145246,0.00145246,0.00145246
15,116.033,1.3986,1.48406,1.42482,0.62188,0.48571,0.46469,0.30371,1.58666,2.49364,1.50416,0.00143595,0.00143595,0.00143595
16,123.538,1.37693,1.44923,1.40193,0.42674,0.55714,0.45751,0.29782,1.60145,2.58568,1.5273,0.00141945,0.00141945,0.00141945
17,131.315,1.38923,1.48771,1.37923,0.88471,0.35714,0.44475,0.26948,1.35659,2.90805,1.34336,0.00140295,0.00140295,0.00140295
18,138.747,1.41686,1.53709,1.39661,0.8832,0.35714,0.50455,0.30318,1.34229,2.58255,1.3353,0.00138644,0.00138644,0.00138644
19,146.388,1.35315,1.3624,1.39602,0.71672,0.61699,0.48102,0.26776,1.44186,2.31686,1.44672,0.00136994,0.00136994,0.00136994
20,154.137,1.46692,1.46678,1.3758,0.69795,0.48571,0.46795,0.28596,1.44855,2.1787,1.38447,0.00135344,0.00135344,0.00135344
21,164.996,1.32702,1.47084,1.35797,0.76775,0.55182,0.60593,0.36667,1.54262,1.83408,1.36307,0.00133693,0.00133693,0.00133693
22,172.564,1.31987,1.42829,1.35855,0.59549,0.53376,0.62221,0.40085,1.55551,1.81536,1.3903,0.00132043,0.00132043,0.00132043
23,180.146,1.34978,1.43353,1.37086,0.39157,0.70905,0.61375,0.38142,1.3776,1.84269,1.28918,0.00130393,0.00130393,0.00130393
